Soil Moisture,Humidity,Temperature,Light Intensity,Month,Status
51,54.1,16.4,1022,Nov,Low
92,78.0,30.2,858,Feb,Medium
14,42.2,21.0,262,Jan,Unsustainable
71,63.3,24.7,983,Dec,Medium
60,74.0,17.0,272,May,Low
20,67.0,18.7,601,Apr,Low
82,41.3,22.4,646,Apr,Low
86,51.3,17.2,383,Mar,Low
74,77.0,37.8,458,Dec,Low
74,63.3,15.2,480,Feb,Low
87,30.3,27.1,969,Nov,Medium
99,75.7,18.1,1004,Dec,Medium
23,32.1,22.7,1010,Sep,Low
2,74.7,38.2,632,Feb,Low
21,42.1,19.0,919,Oct,Low
52,87.5,39.1,262,Jul,Low
1,52.1,20.1,708,Jan,Unsustainable
87,49.6,33.5,406,Jan,Low
29,38.9,28.7,438,Feb,Unsustainable
37,48.3,37.1,154,Apr,Unsustainable
1,82.6,28.8,432,Apr,Unsustainable
63,89.8,28.4,226,Sep,Low
59,52.1,19.9,804,Oct,Low
20,56.9,19.2,342,Jan,Unsustainable
32,73.3,37.9,960,Sep,Low
75,83.2,23.2,699,Apr,Medium
57,65.6,24.3,947,Dec,Medium
21,53.5,34.0,508,Nov,Unsustainable
88,54.8,23.5,602,Dec,Low
48,71.7,38.8,826,Sep,Medium
90,30.2,33.4,703,Jul,Low
58,67.2,29.9,402,Apr,Low
41,51.3,37.0,563,Aug,Low
91,77.7,16.2,334,Oct,Low
59,35.6,21.4,795,May,Low
79,65.3,26.6,137,Jan,Low
14,58.9,20.7,238,Mar,Unsustainable
61,68.5,33.6,294,Dec,Low
61,33.9,38.0,626,Jul,Low
46,64.8,25.6,868,Jun,Low
61,63.7,23.6,746,May,Low
50,63.6,39.0,100,Mar,Low
54,66.2,26.1,660,Apr,Low
63,70.6,27.2,195,Jun,Low
2,78.3,23.8,812,Feb,Low
100,46.2,37.7,512,Feb,Low
50,79.5,29.2,637,Jul,Low
6,59.9,34.1,954,Feb,Low
20,34.6,35.3,528,Jun,Unsustainable
72,33.5,23.5,334,Jun,Low
38,50.1,25.8,448,Oct,Unsustainable
17,77.1,36.2,855,May,Low
3,72.5,24.1,969,Jan,Low
88,77.3,34.8,580,Dec,Medium
59,61.0,38.5,938,Aug,Medium
13,56.4,30.6,495,Sep,Unsustainable
8,38.8,33.5,450,Feb,Unsustainable
89,49.7,35.1,515,Jul,Low
52,56.0,36.1,985,Feb,Medium
1,35.3,24.9,1015,Sep,Low
83,43.2,16.3,986,May,Medium
91,65.9,25.0,150,Nov,Low
59,74.1,31.8,180,Oct,Low
70,89.9,26.3,135,Jun,Low
43,86.0,33.7,166,Oct,Low
7,68.6,23.9,740,Apr,Low
46,55.3,30.9,981,Dec,Low
34,68.2,19.7,766,Feb,Low
77,77.1,33.7,856,Jan,Medium
80,37.1,28.6,722,Nov,Low
35,54.6,20.1,779,Apr,Low
49,80.4,22.3,580,May,Low
3,53.0,33.7,567,Feb,Unsustainable
1,64.3,27.1,241,Apr,Unsustainable
5,65.3,20.4,455,Feb,Unsustainable
53,41.1,39.2,808,Jul,Low
3,51.7,32.9,570,May,Unsustainable
53,50.1,38.9,720,Aug,Low
92,31.6,25.7,987,Nov,Medium
62,31.5,26.9,690,Jun,Low
17,79.9,37.4,1001,Mar,Low
89,46.4,28.1,772,Jun,Medium
